locus_tag	LB24H_1	LB24H_2	LB24H_3	X6H_1	X6H_2	X6H_3	X12H_1	X12H_2	X12H_3	X1D_1	X1D_2	X1D_3	X2D_1	X2D_2	X2D_3	X3D_1	X3D_2	X3D_3	X5D_1	X5D_2	X5D_3	X7D_1	X7D_2	X7D_3	X14D_1	X14D_2	X14D_3	X1M_1	X1M_2	X1M_3	X2M
B4U62_00005	0.306487695749441	0.254287844891872	0.414615958240119	5.9910514541387	6.07606263982103	5.00969425801641	2.18941088739746	2.38255033557047	2.27591349739001	3.81282624906786	2.44891871737509	3.95600298284862	4.61670395227442	4.25503355704698	4.10290827740492	3.43549589858315	3.17300521998509	2.57494407158837	2.63236390753169	2.30723340790455	3.61595824011931	2.12602535421327	1.26249067859806	1.56524981357196	2.58911260253542	0.0768083519761372	0.0857568978374347	0.212527964205817	0.76510067114094	0.80462341536167	0.0797912005965697
B4U62_00010	1.00175901495163	0.733509234828496	1.04045734388742	5.35356200527704	5.11345646437995	4.54441512752858	1.75725593667546	1.84168865435356	1.64995602462621	2.98416886543536	1.96921723834653	3.09586631486368	3.36499560246262	2.77308707124011	2.8698328935796	2.75637642919965	1.98856640281442	1.8311345646438	1.53649956024626	1.32277924362357	2.13984168865435	1.23306948109059	0.785400175901495	1.13280562884785	1.59454705364996	0.0809146877748461	0.0844327176781003	0.344766930518909	0.718557607739666	0.83377308707124	0.0562884784520668
B4U62_00015	0.277777777777778	0.217592592592593	0.425925925925926	6.60185185185185	7.03703703703704	5.4537037037037	2.22222222222222	2.96759259259259	3.24074074074074	5.08333333333333	2.71759259259259	4.74074074074074	3.93981481481481	3.56018518518519	3.99537037037037	2.22222222222222	2.17592592592593	2.05555555555556	2.4212962962963	1.75	3.13425925925926	1.93518518518519	1.13425925925926	1.77314814814815	2.31481481481481	0.134259259259259	0.111111111111111	0.268518518518519	0.851851851851852	0.861111111111111	0.0740740740740741
B4U62_00020	8.71698113207547	7.25516621743037	9.77628032345013	10.3054806828392	12.5354896675651	9.14106019766397	4.29469901168014	4.84636118598383	4.91015274034142	8.01796945193172	5.28122192273136	8.82569631626235	8.95417789757412	8.37376460017969	8.06379155435759	7.47619047619048	6.20215633423181	5.20395327942498	7.54716981132075	5.76819407008086	9.35220125786164	8.28751123090746	5.45822102425876	6.1644204851752	8.02066486972147	1.07187780772686	1.23809523809524	2.02964959568733	6.56064690026954	4.94788858939802	0.406109613656783
B4U62_00025	4.59756097560976	4.21951219512195	5.42276422764228	4.11382113821138	4.51626016260163	3.60569105691057	1.45121951219512	2.02439024390244	1.84552845528455	3.41463414634146	2.47154471544715	3.72764227642276	4.32520325203252	3.7520325203252	3.48780487804878	3.36178861788618	3.20731707317073	2.33333333333333	3.91463414634146	3.06910569105691	4.59349593495935	3.46341463414634	1.86178861788618	2.19105691056911	4.35365853658537	0.142276422764228	0.117886178861789	0.686991869918699	2.85772357723577	2.09349593495935	0.0975609756097561
B4U62_00030	14.2065727699531	11.1465832029212	16.6593635889411	9.92383933229004	11.2529994783516	8.84298382889932	5.54460093896714	5.77777777777778	5.4736567553469	7.84559207094418	4.98226395409494	8.38236828377674	9.61241523213354	8.38445487741262	8.21283255086072	7.96713615023474	6.35576421491914	5.27021387584768	7.81533646322379	5.53625456442358	9.15075639019301	7.97026604068858	5.04225352112676	6.20135628586333	8.41627543035994	0.748565466875326	0.793427230046948	1.9848721961398	5.64945226917058	4.29316640584246	0.350547730829421
B4U62_00035	10.2915652879157	7.68167072181671	11.8300892133009	13.4326845093268	15.2031630170316	11.9472830494728	6.60624493106245	7.31954582319546	7.23195458231955	12.235198702352	7.87631792376318	12.2846715328467	11.8021086780211	11.066504460665	10.4582319545823	9.31670721816707	6.941200324412	5.8625304136253	9.0985401459854	6.34712084347121	10.7814274128143	7.4176804541768	4.69180859691809	6.17842660178427	8.93025141930251	0.489862124898621	0.55271695052717	1.58191403081914	4.71938361719384	3.94971613949716	0.40470397404704
B4U62_00065	0.10126582278481	0.129746835443038	0.248945147679325	0.184599156118143	0.221518987341772	0.160337552742616	0.0337552742616034	0.0938818565400844	0.0590717299578059	0.226793248945148	0.130801687763713	0.169831223628692	0.392405063291139	0.376582278481013	0.337552742616034	0.729957805907173	0.912447257383966	0.722573839662447	0.464135021097046	0.534810126582278	0.707805907172996	0.372362869198312	0.40506329113924	0.422995780590717	1.12236286919831	0.04957805907173	0.0126582278481013	0.142405063291139	0.240506329113924	0.910337552742616	0.0643459915611814
B4U62_00070	21.585548738923	14.2079072937969	22.2556237218814	10.0995228357192	11.0231765507839	9.55623721881391	10.6489434219496	9.06134969325153	8.58895705521472	8.28902522154056	5.27402862985685	8.47580095432856	9.22631220177233	7.35310156782549	7.58077709611452	6.57941376959782	5.14451261077028	4.58486707566462	4.21336059986367	3.71165644171779	5.77914110429448	8.13292433537832	4.52965235173824	5.59713701431493	4.88820722563054	0.813905930470348	0.873892297205181	1.56782549420586	2.74642126789366	3.52147239263804	0.169052488070893
B4U62_00075	1.12687687687688	0.88963963963964	1.27027027027027	13.4692192192192	15.704954954955	12.1809309309309	3.52777777777778	4.88963963963964	4.81231231231231	7.99174174174174	5.47897897897898	8.80405405405405	7.10960960960961	6.21096096096096	6.28078078078078	4.05705705705706	3.30405405405405	2.72372372372372	3.20945945945946	2.496996996997	4.17942942942943	2.38738738738739	1.52327327327327	2.21246246246246	2.81231231231231	0.114114114114114	0.114114114114114	0.525525525525526	1.1463963963964	1.82882882882883	0.135885885885886
